time	diffusion_coefficient	number_of_branches
2013.76571780976	74.1956808240483	0.00600000000000004
2013.82121482909	115.22005413551	0.014
2013.87671184842	1158.9980966147	0.016
2013.93220886775	3300.18640597122	0.022
2013.98770588708	6526.98221834233	0.0200000000000001
2014.0432029064	7657.41677229921	0.024
2014.09869992573	9190.17334862786	0.0260000000000001
2014.15419694506	609.026234073325	0.027
2014.20969396439	2362.09396818898	0.0420000000000001
2014.26519098371	2780.24174612226	0.0680000000000003
2014.32068800304	5189.51830386575	0.0969999999999999
2014.37618502237	6619.95738027	0.118
2014.4316820417	5712.0363648761	0.128
2014.48717906103	7013.58891106457	0.172
2014.54267608035	6643.37290294697	0.206
2014.59817309968	6817.33772024556	0.26
2014.65367011901	7290.29936872718	0.331
2014.70916713834	3824.78092271897	0.425
2014.76466415766	4564.26344284233	0.541999999999999
2014.82016117699	6098.7056619738	0.643
2014.87565819632	7893.8229601286	0.778000000000001
2014.93115521565	6586.0973561208	0.947
2014.98665223498	12025.0339430139	1.122
2015.0421492543	24842.4403562708	1.294
2015.09764627363	23915.328855495	1.497
2015.15314329296	28133.2703784573	1.751
2015.20864031229	29564.2539022195	1.969
2015.26413733161	23001.8929916076	2.174
2015.31963435094	31507.2616780355	2.53
2015.37513137027	48069.3186847462	2.936
2015.4306283896	90108.8724596198	3.161
2015.48612540893	211733.915257708	3.325
2015.54162242825	293192.783586727	3.448
2015.59711944758	313996.173400814	3.135
2015.65261646691	300793.486561746	2.979
2015.70811348624	243963.037332794	2.714
2015.76361050556	11206.3589735168	1.798
2015.81910752489	9837.0004209832	2.072
2015.87460454422	12649.7736937796	2.48
2015.93010156355	12302.0607422064	3.191
2015.98559858288	12364.5220578391	4.03
2016.0410956022	15189.8338795959	5.03
2016.09659262153	17124.1551988217	6.334
2016.15208964086	17813.1727541391	8.091
2016.20758666019	18307.7254550316	10.336
2016.26308367952	18579.0899100191	12.976
2016.31858069884	18054.5926276824	16.695
2016.37407771817	15840.8118499057	21.465
2016.4295747375	14694.9879839866	27.629
2016.48507175683	13488.7682168705	35.354
2016.54056877615	13332.6516660476	45.103
2016.59606579548	14202.705169739	55.051
2016.65156281481	15153.1687427995	67.594
2016.70705983414	15092.6466238195	83.165
2016.76255685347	14612.3587304881	96.42
2016.81805387279	15550.7998541151	111.752
2016.87355089212	18097.5309630979	132.715
2016.92904791145	25437.004436844	157.435
2016.98454493078	32003.3002121743	190.464
2017.0400419501	34154.8060700251	221.099
2017.09553896943	38524.4572091194	239.031
2017.15103598876	31059.8925610065	251.361
2017.20653300809	24493.4113036921	231.373
2017.26203002742	20943.9880175872	206.06
2017.31752704674	10937.644960197	181.857
2017.37302406607	11335.6829808399	152.392
2017.4285210854	12094.2667829259	127.778
2017.48401810473	10316.5178770424	141.967
2017.53951512405	5818.91241623498	169.451
2017.59501214338	2649.51175251622	202.92
2017.65050916271	2477.90325594129	242.409
2017.70600618204	2339.34394535984	268.131
2017.76150320137	2320.74649811491	291.82
2017.81700022069	2156.55614187567	312.055
2017.87249724002	2151.85634487138	315.02
2017.92799425935	2247.5828966041	313.891
2017.98349127868	2753.49043230785	290.232
2018.038988298	2837.32003730327	251.308
2018.09448531733	2913.05847288563	201.26
2018.14998233666	3207.33656518983	138.094
2018.20547935599	2722.22463426388	92.696
2018.26097637532	1487.58216404827	58.751
2018.31647339464	974.322628358519	43.623
2018.37197041397	1176.69000308112	25.029
2018.4274674333	1979.6842509004	11.063
2018.48296445263	1544.89990812044	7.883
2018.53846147195	988.944942751257	6.753
2018.59395849128	1400.21561821959	2.583
2018.64945551061	564.812651601957	2.341
2018.70495252994	610.671055800743	1.132
2018.76044954927	713.873827803193	0.897
2018.81594656859	476.497631996909	1.6
2018.87144358792	376.447877028393	1.358
2018.92694060725	338.622105623909	4.112
2018.98243762658	342.484351029044	6.014
2019.0379346459	288.35974172766	5.001
2019.09343166523	173.33197117522	5
2019.14892868456	57.2430139162198	5
2019.20442570389	158.259661956057	2
2019.25992272322	227.670984292499	1
