time	diffusion_coefficient	number_of_branches
2013.76571780976	45.531916699513	0
2013.82121482909	58.4660806114858	0
2013.87671184842	184.664025789252	0
2013.93220886775	333.640200317335	0
2013.98770588708	946.472560230062	0
2014.0432029064	327.186698052345	0
2014.09869992573	51.7962260827819	0
2014.15419694506	99.9460642762192	0
2014.20969396439	547.881802817557	0
2014.26519098371	437.249784034626	0
2014.32068800304	600.255646622013	0
2014.37618502237	770.054471803716	0
2014.4316820417	667.624799436781	0
2014.48717906103	694.493222325494	0
2014.54267608035	540.188421908451	0
2014.59817309968	455.790829055688	0
2014.65367011901	551.949546645921	0
2014.70916713834	505.88370341095	0
2014.76466415766	516.206056546191	0
2014.82016117699	668.560521639951	0
2014.87565819632	744.369728389268	0
2014.93115521565	685.639340836075	0
2014.98665223498	825.289613439143	0
2015.0421492543	1015.96726977766	0
2015.09764627363	1313.24788822972	2
2015.15314329296	2156.88755016098	2
2015.20864031229	3258.09520031343	2
2015.26413733161	5545.99366089486	2
2015.31963435094	10407.19264965	3
2015.37513137027	28195.4494219201	3
2015.4306283896	69682.6838838783	3
2015.48612540893	173709.694396917	3
2015.54162242825	207943.819481336	3
2015.59711944758	195740.485413108	3
2015.65261646691	148592.043615022	3
2015.70811348624	53016.5445946827	3
2015.76361050556	3968.85817098062	3
2015.81910752489	4439.95517861808	3
2015.87460454422	4103.62490281178	3
2015.93010156355	4767.00512317357	3
2015.98559858288	6063.222886217	3
2016.0410956022	7496.21521505901	5
2016.09659262153	8768.25915328002	6
2016.15208964086	10376.6887285882	8
2016.20758666019	10640.2308702015	10
2016.26308367952	11283.4662868925	13
2016.31858069884	10898.2941853275	16
2016.37407771817	10213.13908293	21
2016.4295747375	9796.7328335862	27
2016.48507175683	9460.95400854258	35
2016.54056877615	9792.00501889231	45
2016.59606579548	11029.9379197531	55
2016.65156281481	12401.4487769816	67
2016.70705983414	13566.1915827873	83
2016.76255685347	13593.6665390465	97
2016.81805387279	14183.4613365968	111
2016.87355089212	15956.1458750229	133
2016.92904791145	20992.0402316065	157
2016.98454493078	25831.9145312349	190
2017.0400419501	22998.0402698173	220
2017.09553896943	23176.848726407	239
2017.15103598876	18653.0819276383	251.5
2017.20653300809	12906.4647944263	231
2017.26203002742	11558.0521142675	206
2017.31752704674	5944.53046945338	181
2017.37302406607	6329.96313834429	152
2017.4285210854	5713.75855562328	127
2017.48401810473	4937.70315657129	141
2017.53951512405	1877.7810493747	169
2017.59501214338	1397.0787097699	202
2017.65050916271	1387.31357773317	242
2017.70600618204	1383.56531340966	268
2017.76150320137	1417.58257741277	292
2017.81700022069	1434.86258696643	312
2017.87249724002	1548.31049455987	316
2017.92799425935	1694.13627190239	314
2017.98349127868	2045.30175973221	290
2018.038988298	2337.96031160103	252
2018.09448531733	2553.0368351211	201
2018.14998233666	2552.12545250737	138
2018.20547935599	2223.40422645983	93
2018.26097637532	1650.92282573304	59
2018.31647339464	1143.42760011969	44
2018.37197041397	2007.49187487537	26
2018.4274674333	2859.49007137197	12
2018.48296445263	2224.96790824098	9
2018.53846147195	1792.15128584811	8
2018.59395849128	1408.97098771957	1
2018.64945551061	532.23607860693	1
2018.70495252994	520.491077098046	0
2018.76044954927	698.636799635439	0
2018.81594656859	300.247588778779	1
2018.87144358792	195.361830236246	1
2018.92694060725	227.927417453364	4
2018.98243762658	281.999099387034	6
2019.0379346459	202.017641587137	5
2019.09343166523	120.259037376916	5
2019.14892868456	50.8201030992107	5
2019.20442570389	329.332971792914	2
2019.25992272322	244.735461943869	1
