time	diffusion_coefficient	number_of_branches
2013.76571780976	74.1956808240483	0.00600000000000004
2013.82121482909	115.22005413551	0.014
2013.87671184842	1158.9980966147	0.016
2013.93220886775	3300.18640597122	0.022
2013.98770588708	6526.98221834233	0.0200000000000001
2014.0432029064	7657.41677229921	0.024
2014.09869992573	9190.17334862786	0.0260000000000001
2014.15419694506	586.647213644354	0.027
2014.20969396439	2273.87107959557	0.0420000000000001
2014.26519098371	2821.08745825638	0.0680000000000003
2014.32068800304	7514.75623683964	0.0969999999999999
2014.37618502237	7357.0720985762	0.118
2014.4316820417	5742.0905654699	0.128
2014.48717906103	7017.71174035857	0.172
2014.54267608035	7085.58808162388	0.206
2014.59817309968	9069.32722441581	0.26
2014.65367011901	9592.45539764173	0.331
2014.70916713834	4470.69717308884	0.425
2014.76466415766	6099.77539541268	0.541999999999999
2014.82016117699	6722.58413105512	0.643
2014.87565819632	8932.36594360328	0.778000000000001
2014.93115521565	7472.72203379357	0.947
2014.98665223498	13374.7007716284	1.122
2015.0421492543	11688.9169496069	1.294
2015.09764627363	10840.6670078795	1.497
2015.15314329296	16331.6393853813	1.751
2015.20864031229	16547.4329734964	1.969
2015.26413733161	20363.6443734415	2.174
2015.31963435094	28006.8317994097	2.53
2015.37513137027	43654.0582583824	2.936
2015.4306283896	78292.6688707614	3.161
2015.48612540893	172531.470115687	3.325
2015.54162242825	238113.945284179	3.448
2015.59711944758	247337.755482371	3.135
2015.65261646691	227753.734096106	2.979
2015.70811348624	180879.893932853	2.714
2015.76361050556	11077.4850978215	1.798
2015.81910752489	9726.64423464847	2.072
2015.87460454422	10666.6707953464	2.48
2015.93010156355	9940.59242949695	3.191
2015.98559858288	10593.7393152242	4.03
2016.0410956022	12376.1571517557	5.03
2016.09659262153	14819.5788397687	6.334
2016.15208964086	15827.4908243543	8.091
2016.20758666019	15277.9925509684	10.336
2016.26308367952	15124.7232792723	12.976
2016.31858069884	14203.7150169493	16.695
2016.37407771817	13177.0990565095	21.465
2016.4295747375	12590.4251737344	27.629
2016.48507175683	11828.7781171889	35.354
2016.54056877615	11820.8228307978	45.103
2016.59606579548	12774.4670696487	55.051
2016.65156281481	13621.436347331	67.594
2016.70705983414	14589.4439308318	83.165
2016.76255685347	14395.4637397398	96.42
2016.81805387279	14866.6066543685	111.752
2016.87355089212	16829.4125154802	132.715
2016.92904791145	21458.1156466454	157.435
2016.98454493078	25954.3157753637	190.464
2017.0400419501	23279.0282232261	221.099
2017.09553896943	22737.8259197035	239.031
2017.15103598876	17740.2768759591	251.361
2017.20653300809	13568.1010066138	231.373
2017.26203002742	11035.2519568843	206.06
2017.31752704674	6242.36666709459	181.857
2017.37302406607	6714.28260603214	152.392
2017.4285210854	6214.45050677178	127.778
2017.48401810473	5074.79064912954	141.967
2017.53951512405	2622.44222898293	169.451
2017.59501214338	1889.78165386372	202.92
2017.65050916271	1671.68501329747	242.409
2017.70600618204	1530.12740667282	268.131
2017.76150320137	1475.68455947587	291.82
2017.81700022069	1472.35896039844	312.055
2017.87249724002	1578.73999993522	315.02
2017.92799425935	1737.01205997361	313.891
2017.98349127868	2081.6301664629	290.232
2018.038988298	2371.8304786087	251.308
2018.09448531733	2591.17176509376	201.26
2018.14998233666	2621.53922258795	138.094
2018.20547935599	2316.70801805054	92.696
2018.26097637532	1893.1853803515	58.751
2018.31647339464	1428.50064689011	43.623
2018.37197041397	2323.16495787843	25.029
2018.4274674333	2995.1366334112	11.063
2018.48296445263	2323.01386489885	7.883
2018.53846147195	1840.87388735406	6.753
2018.59395849128	1415.58377187624	2.583
2018.64945551061	609.427025505535	2.341
2018.70495252994	703.965993655837	1.132
2018.76044954927	805.571375339379	0.897
2018.81594656859	488.913549159307	1.6
2018.87144358792	403.59536332041	1.358
2018.92694060725	372.630580316541	4.112
2018.98243762658	400.118059992246	6.014
2019.0379346459	301.556338104763	5.001
2019.09343166523	190.174455058556	5
2019.14892868456	95.7085461381628	5
2019.20442570389	306.428810910524	2
2019.25992272322	227.670984292499	1
