time	diffusion_coefficient	number_of_branches
2013.76571780976	45.531916699513	0
2013.82121482909	58.4660806114858	0
2013.87671184842	184.664025789252	0
2013.93220886775	333.640200317335	0
2013.98770588708	946.472560230062	0
2014.0432029064	327.186698052345	0
2014.09869992573	51.7962260827819	0
2014.15419694506	180.241867796249	0
2014.20969396439	583.607240835743	0
2014.26519098371	437.249784034626	0
2014.32068800304	586.275150827713	0
2014.37618502237	522.381092744979	0
2014.4316820417	681.314456004479	0
2014.48717906103	631.384269813831	0
2014.54267608035	540.188421908451	0
2014.59817309968	460.150340761938	0
2014.65367011901	473.09054655929	0
2014.70916713834	509.629815027144	0
2014.76466415766	513.649860049328	0
2014.82016117699	732.507454064559	0
2014.87565819632	725.776952774446	0
2014.93115521565	756.736745246268	0
2014.98665223498	795.788146064934	0
2015.0421492543	1115.30169825226	0
2015.09764627363	1472.99166007121	2
2015.15314329296	2312.07108212422	2
2015.20864031229	3616.92773243699	2
2015.26413733161	6974.04602531703	2
2015.31963435094	17776.4599906494	3
2015.37513137027	39665.3223579449	3
2015.4306283896	86061.1078680969	3
2015.48612540893	174168.660031707	3
2015.54162242825	213367.87882607	3
2015.59711944758	219168.086320221	3
2015.65261646691	165840.140788605	3
2015.70811348624	72695.9242933636	3
2015.76361050556	3738.80935051236	3
2015.81910752489	4033.3278839835	3
2015.87460454422	4005.88389119109	3
2015.93010156355	4671.84144064919	3
2015.98559858288	5536.16221032939	3
2016.0410956022	6594.08497494331	5
2016.09659262153	7292.24082240635	6
2016.15208964086	8376.6776900959	8
2016.20758666019	8761.88592762515	10
2016.26308367952	9525.15578313151	13
2016.31858069884	9380.87696693222	16
2016.37407771817	8757.34073773224	21
2016.4295747375	8141.57373724656	27
2016.48507175683	8298.4946860342	35
2016.54056877615	9039.09724655834	45
2016.59606579548	10297.1166372773	55
2016.65156281481	11441.8331232683	67
2016.70705983414	12026.2696061994	83
2016.76255685347	12432.0696630358	97
2016.81805387279	13142.1814547472	111
2016.87355089212	14584.3422798969	133
2016.92904791145	20751.989421436	157
2016.98454493078	26758.0476375528	190
2017.0400419501	29266.9391639482	220
2017.09553896943	33979.4670435702	239
2017.15103598876	27940.4155401959	251.5
2017.20653300809	20591.6115137358	231
2017.26203002742	17862.3272612531	206
2017.31752704674	8257.45975579782	181
2017.37302406607	8227.85242742613	152
2017.4285210854	8319.50298127425	127
2017.48401810473	7311.13049659792	141
2017.53951512405	3115.44825783217	169
2017.59501214338	1709.83558480885	202
2017.65050916271	1710.92758240901	242
2017.70600618204	1760.67218577273	268
2017.76150320137	1782.1373328101	292
2017.81700022069	1795.70106942347	312
2017.87249724002	1894.9867900739	316
2017.92799425935	1991.77003437955	314
2017.98349127868	2384.66335556118	290
2018.038988298	2493.67868380938	252
2018.09448531733	2524.44544280548	201
2018.14998233666	2678.57048114016	138
2018.20547935599	2131.04792270523	93
2018.26097637532	1281.23042549144	59
2018.31647339464	804.436637525704	44
2018.37197041397	1029.07154106815	26
2018.4274674333	1783.70538415346	12
2018.48296445263	1465.74768778507	9
2018.53846147195	951.092058670052	8
2018.59395849128	1386.1335803823	1
2018.64945551061	530.74132539726	1
2018.70495252994	467.722817077637	0
2018.76044954927	624.130371655999	0
2018.81594656859	300.247588778779	1
2018.87144358792	195.361830236246	1
2018.92694060725	224.683763320861	4
2018.98243762658	247.962312873223	6
2019.0379346459	204.043956020496	5
2019.09343166523	118.397914809225	5
2019.14892868456	35.2168314303907	5
2019.20442570389	169.165741852482	2
2019.25992272322	244.735461943869	1
