node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,0.08911145448461,-45.5867064443647,-20.3558619181004,-47.0673587330694,-20.5624338973546,0.08911145448461,0,2015.50942039519,2015.59853184967,NA,other,other
468,154,0.02612568457603,-47.0673587330694,-20.5624338973546,-50.7243659830889,-15.8809171470521,0.11523713906064,0.08911145448461,2015.59853184967,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
467,755,0.2155680935895,-45.5867064443647,-20.3558619181004,-45.3648175642108,-20.4312101547795,0.2155680935895,0,2015.50942039519,2015.72498848878,NA,other,other
468,469,0.6113432977138,-47.0673587330694,-20.5624338973546,-47.2769426264193,-20.8210384129591,0.70045475219841,0.08911145448461,2015.59853184967,2016.20987514738,NA,other,other
755,780,0.516550838511,-45.3648175642108,-20.4312101547795,-44.4053788666584,-20.2203424479144,0.7321189321005,0.2155680935895,2015.72498848878,2016.24153932729,NA,other,other
755,756,0.5616706231287,-45.3648175642108,-20.4312101547795,-45.4464131773714,-20.2846454738757,0.7772387167182,0.2155680935895,2015.72498848878,2016.2866591119,NA,other,other
469,470,0.1126157098069,-47.2769426264193,-20.8210384129591,-47.3451431809256,-20.890796513578,0.81307046200531,0.70045475219841,2016.20987514738,2016.32249085719,NA,other,other
780,781,0.1366439993474,-44.4053788666584,-20.2203424479144,-42.1002127910641,-19.9642073731928,0.8687629314479,0.7321189321005,2016.24153932729,2016.37818332663,NA,other,other
756,762,0.1367336793141,-45.4464131773714,-20.2846454738757,-45.2252350583817,-20.345441458401,0.9139723960323,0.7772387167182,2016.2866591119,2016.42339279122,NA,other,other
762,763,0.05613951316889,-45.2252350583817,-20.345441458401,-45.2620525806749,-20.3898230662123,0.97011190920119,0.9139723960323,2016.42339279122,2016.47953230439,NA,other,other
470,471,0.1661052307174,-47.3451431809256,-20.890796513578,-48.674614794866,-21.2934522359279,0.97917569272271,0.81307046200531,2016.32249085719,2016.48859608791,NA,other,other
469,750,0.305687979644,-47.2769426264193,-20.8210384129591,-47.0132264646021,-20.5312231833138,1.00614273184241,0.70045475219841,2016.20987514738,2016.51556312703,NA,other,SP
756,757,0.2298072455097,-45.4464131773714,-20.2846454738757,-49.140430497798,-21.1119608180855,1.0070459622279,0.7772387167182,2016.2866591119,2016.51646635741,NA,other,other
781,782,0.157596925606,-42.1002127910641,-19.9642073731928,-40.7860826311888,-20.0561507184,1.0263598570539,0.8687629314479,2016.37818332663,2016.53578025224,NA,other,other
471,472,0.07666529665195,-48.674614794866,-21.2934522359279,-48.534498505343,-21.1993101636861,1.05584098937466,0.97917569272271,2016.48859608791,2016.56526138456,NA,other,other
780,909,0.3396999097023,-44.4053788666584,-20.2203424479144,-44.0663199363246,-19.481976674766,1.0718188418028,0.7321189321005,2016.24153932729,2016.58123923699,NA,other,other
781,871,0.2078000400672,-42.1002127910641,-19.9642073731928,-42.1358525831186,-20.1267854041587,1.0765629715151,0.8687629314479,2016.37818332663,2016.5859833667,NA,other,other
472,473,0.03087594317082,-48.534498505343,-21.1993101636861,-48.5058413734334,-21.2245730240194,1.08671693254548,1.05584098937466,2016.56526138456,2016.59613732773,NA,other,other
472,480,0.03130369327447,-48.534498505343,-21.1993101636861,-48.3855118389638,-21.0715376866578,1.08714468264913,1.05584098937466,2016.56526138456,2016.59656507784,NA,other,other
471,679,0.1109854537779,-48.674614794866,-21.2934522359279,-48.7414472633941,-21.239230311981,1.09016114650061,0.97917569272271,2016.48859608791,2016.59958154169,NA,other,other
871,872,0.04046090638502,-42.1358525831186,-20.1267854041587,-42.2263405150833,-20.2687273083725,1.11702387790012,1.0765629715151,2016.5859833667,2016.62644427309,NA,other,other
757,758,0.1285931273816,-49.140430497798,-21.1119608180855,-49.0033908641172,-21.0336956772683,1.1356390896095,1.0070459622279,2016.51646635741,2016.6450594848,NA,other,other
782,783,0.1142545139697,-40.7860826311888,-20.0561507184,-40.8158702619286,-20.1578406712516,1.1406143710236,1.0263598570539,2016.53578025224,2016.65003476621,NA,other,other
