node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,0.7412192861464,-46.3429131554035,-20.7202308682364,-46.2493462929438,-20.5154860596593,0.7412192861464,0,2014.81505410621,2015.55627339236,NA,other,other
468,154,0.06838414189104,-46.2493462929438,-20.5154860596593,-50.7243659830889,-15.8809171470521,0.80960342803744,0.7412192861464,2015.55627339236,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
467,755,0.910690825149,-46.3429131554035,-20.7202308682364,-47.2222590994616,-20.8054472826661,0.910690825149,0,2014.81505410621,2015.72574493136,NA,other,other
755,908,0.1173373629372,-47.2222590994616,-20.8054472826661,-46.9072557805261,-20.8035363844957,1.0280281880862,0.910690825149,2015.72574493136,2015.8430822943,NA,other,other
468,469,0.4586912137973,-46.2493462929438,-20.5154860596593,-46.3504610395835,-20.5347228748922,1.1999104999437,0.7412192861464,2015.55627339236,2016.01496460615,NA,other,other
469,475,0.1520949550706,-46.3504610395835,-20.5347228748922,-48.102989616353,-21.3823513118343,1.3520054550143,1.1999104999437,2016.01496460615,2016.16705956122,NA,other,other
755,756,0.5758380397631,-47.2222590994616,-20.8054472826661,-42.8770563187677,-18.2718517976818,1.4865288649121,0.910690825149,2015.72574493136,2016.30158297112,NA,other,other
475,478,0.1552809278296,-48.102989616353,-21.3823513118343,-48.0913200472249,-21.2451431302735,1.5072863828439,1.3520054550143,2016.16705956122,2016.32234048905,NA,other,other
478,479,0.10975400207,-48.0913200472249,-21.2451431302735,-48.0667839492332,-21.2126844177412,1.6170403849139,1.5072863828439,2016.32234048905,2016.43209449112,NA,other,other
756,770,0.138173704533,-42.8770563187677,-18.2718517976818,-40.6484174205546,-20.2260411684726,1.6247025694451,1.4865288649121,2016.30158297112,2016.43975667565,NA,other,other
908,927,0.6265313386958,-46.9072557805261,-20.8035363844957,-49.3259123139447,-21.0990316479808,1.654559526782,1.0280281880862,2015.8430822943,2016.46961363299,NA,other,other
478,686,0.1573508545888,-48.0913200472249,-21.2451431302735,-49.282414367421,-21.2250618770082,1.6646372374327,1.5072863828439,2016.32234048905,2016.47969134364,NA,other,other
469,470,0.4792846290019,-46.3504610395835,-20.5347228748922,-46.4095266040108,-20.3499188497532,1.6791951289456,1.1999104999437,2016.01496460615,2016.49424923515,NA,other,SP
756,757,0.2167077453452,-42.8770563187677,-18.2718517976818,-43.0909789760069,-18.2615414903767,1.7032366102573,1.4865288649121,2016.30158297112,2016.51829071647,NA,other,other
770,863,0.08195314175133,-40.6484174205546,-20.2260411684726,-40.7247985898121,-20.228751578714,1.70665571119643,1.6247025694451,2016.43975667565,2016.52170981741,NA,other,other
863,864,0.01016976450684,-40.7247985898121,-20.228751578714,-40.6674418479027,-20.4688670428105,1.71682547570327,1.70665571119643,2016.52170981741,2016.53187958191,NA,other,other
770,771,0.09884924895928,-40.6484174205546,-20.2260411684726,-40.7077315048802,-20.2079324462723,1.72355181840438,1.6247025694451,2016.43975667565,2016.53860592461,NA,other,other
864,900,0.05135612668489,-40.6674418479027,-20.4688670428105,-40.7203440541188,-20.4334839202792,1.76818160238816,1.71682547570327,2016.53187958191,2016.5832357086,NA,other,MG
479,492,0.1560588488935,-48.0667839492332,-21.2126844177412,-48.1414819148522,-21.1541769748865,1.7730992338074,1.6170403849139,2016.43209449112,2016.58815334002,NA,other,other
479,480,0.1641450330599,-48.0667839492332,-21.2126844177412,-48.2694760124288,-21.2616750083105,1.7811854179738,1.6170403849139,2016.43209449112,2016.59623952418,NA,other,other
480,484,0.03549296381342,-48.2694760124288,-21.2616750083105,-48.3272081892476,-21.2916111315066,1.81667838178722,1.7811854179738,2016.59623952418,2016.631732488,NA,other,other
864,865,0.1222278154163,-40.6674418479027,-20.4688670428105,-40.6718838265716,-20.0597938497372,1.83905329111957,1.71682547570327,2016.53187958191,2016.65410739733,NA,other,other
470,471,0.1693809865827,-46.4095266040108,-20.3499188497532,-46.1592445370635,-20.404490957963,1.8485761155283,1.6791951289456,2016.49424923515,2016.66363022174,NA,SP,SP
