node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,2.35975608778,-45.6827595217835,-20.3677854198271,-42.8977543744309,-19.3709260714843,2.35975608778,0,2013.92027698313,2016.28003307091,NA,other,other
467,620,1.075974587058,-45.6827595217835,-20.3677854198271,-45.5452797797187,-20.1580074083079,1.075974587058,0,2013.92027698313,2014.99625157018,NA,other,other
620,621,0.5997733792849,-45.5452797797187,-20.1580074083079,-45.5219297010832,-20.0989442434091,1.6757479663429,1.075974587058,2014.99625157018,2015.59602494947,NA,other,other
621,154,0.02863258477702,-45.5219297010832,-20.0989442434091,-50.7243659830889,-15.8809171470521,1.70438055111992,1.6757479663429,2015.59602494947,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
620,908,0.7750498093254,-45.5452797797187,-20.1580074083079,-45.5582829741284,-20.0475929793124,1.8510243963834,1.075974587058,2014.99625157018,2015.77130137951,NA,other,other
621,622,0.4631227339561,-45.5219297010832,-20.0989442434091,-45.1194954563956,-20.0072225764556,2.138870700299,1.6757479663429,2015.59602494947,2016.05914768343,NA,other,other
622,627,0.1935405076472,-45.1194954563956,-20.0072225764556,-48.9146313658645,-21.1350968905767,2.3324112079462,2.138870700299,2016.05914768343,2016.25268819107,NA,other,other
627,628,0.04757201197957,-48.9146313658645,-21.1350968905767,-48.8649117698171,-21.1955332023719,2.37998321992577,2.3324112079462,2016.25268819107,2016.30026020305,NA,other,other
628,631,0.01899020099364,-48.8649117698171,-21.1955332023719,-48.8615171677705,-21.2025412469929,2.39897342091941,2.37998321992577,2016.30026020305,2016.31925040405,NA,other,other
468,584,0.09691731967208,-42.8977543744309,-19.3709260714843,-41.9928211985978,-19.8021659146558,2.45667340745208,2.35975608778,2016.28003307091,2016.37695039058,NA,other,other
468,469,0.1384587582211,-42.8977543744309,-19.3709260714843,-42.7463471586358,-19.4585596578092,2.4982148460011,2.35975608778,2016.28003307091,2016.41849182913,NA,other,other
631,632,0.1127550828665,-48.8615171677705,-21.2025412469929,-48.8643692675998,-21.1896599070724,2.51172850378591,2.39897342091941,2016.31925040405,2016.43200548691,NA,other,other
584,585,0.07966654822775,-41.9928211985978,-19.8021659146558,-41.9925316901964,-19.9437445313716,2.53633995567983,2.45667340745208,2016.37695039058,2016.45661693881,NA,other,other
585,612,0.01644782217107,-41.9925316901964,-19.9437445313716,-42.0007458188615,-19.8917995162438,2.5527877778509,2.53633995567983,2016.45661693881,2016.47306476098,NA,other,MG
632,633,0.0523268783602,-48.8643692675998,-21.1896599070724,-48.8334947850242,-21.2161744732171,2.56405538214611,2.51172850378591,2016.43200548691,2016.48433236527,NA,other,other
908,909,0.730072241401,-45.5582829741284,-20.0475929793124,-45.8766175085248,-21.055566399509,2.5810966377844,1.8510243963834,2015.77130137951,2016.50137362091,NA,other,other
469,492,0.08615034064532,-42.7463471586358,-19.4585596578092,-40.6412805154496,-20.0355492696365,2.58436518664642,2.4982148460011,2016.41849182913,2016.50464216977,NA,other,other
909,910,0.03484664155119,-45.8766175085248,-21.055566399509,-45.7973686963193,-21.0802333090692,2.61594327933559,2.5810966377844,2016.50137362091,2016.53622026246,NA,other,other
585,586,0.09215436001177,-41.9925316901964,-19.9437445313716,-41.9158288739097,-20.04799740121,2.6284943156916,2.53633995567983,2016.45661693881,2016.54877129882,NA,other,other
632,645,0.1304268741686,-48.8643692675998,-21.1896599070724,-48.1782722228676,-21.353797646368,2.64215537795451,2.51172850378591,2016.43200548691,2016.56243236108,NA,other,other
908,927,0.8036701707075,-45.5582829741284,-20.0475929793124,-48.9425177210962,-20.9857000187117,2.6546945670909,1.8510243963834,2015.77130137951,2016.57497155022,NA,other,other
633,637,0.09594964136322,-48.8334947850242,-21.2161744732171,-48.85738968142,-21.1934566959932,2.66000502350933,2.56405538214611,2016.48433236527,2016.58028200664,NA,other,other
637,643,0.00518024826968,-48.85738968142,-21.1934566959932,-48.9038902431191,-21.2052755733678,2.66518527177901,2.66000502350933,2016.58028200664,2016.58546225491,NA,other,other
