node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,1.940405402131,-46.6729531838075,-20.174887363537,-40.7669871115521,-20.269182248865,1.940405402131,0,2014.00277530051,2015.94318070264,NA,other,other
467,620,0.3104800323155,-46.6729531838075,-20.174887363537,-46.5802800310215,-20.2410407296121,0.3104800323155,0,2014.00277530051,2014.31325533282,NA,other,other
620,621,0.6909473395435,-46.5802800310215,-20.2410407296121,-46.5817031052,-20.4194206529092,1.001427371859,0.3104800323155,2014.31325533282,2015.00420267237,NA,other,other
621,622,0.6054146088224,-46.5817031052,-20.4194206529092,-46.2902352484302,-20.4199693723389,1.6068419806814,1.001427371859,2015.00420267237,2015.60961728119,NA,other,other
620,908,1.29752570653,-46.5802800310215,-20.2410407296121,-46.6999924850906,-20.2230330933505,1.6080057388455,0.3104800323155,2014.31325533282,2015.61078103935,NA,other,other
621,154,0.6204548618779,-46.5817031052,-20.4194206529092,-50.7243659830889,-15.8809171470521,1.6218822337369,1.001427371859,2015.00420267237,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
622,627,0.2393625100543,-46.2902352484302,-20.4199693723389,-46.4775327045396,-20.6229023508682,1.8462044907357,1.6068419806814,2015.60961728119,2015.84897979125,NA,other,other
468,511,0.03511742263289,-40.7669871115521,-20.269182248865,-40.7624938789842,-20.2746797435718,1.97552282476389,1.940405402131,2015.94318070264,2015.97829812527,NA,other,other
511,515,0.001876763904288,-40.7624938789842,-20.2746797435718,-40.7929672229384,-20.2882266411635,1.97739958866818,1.97552282476389,2015.97829812527,2015.98017488918,NA,other,other
627,628,0.1312687914792,-46.4775327045396,-20.6229023508682,-47.9137554651736,-21.1550379445596,1.9774732822149,1.8462044907357,2015.84897979125,2015.98024858272,NA,other,other
515,561,0.02226429212552,-40.7929672229384,-20.2882266411635,-43.0794521585219,-19.2313537468758,1.9996638807937,1.97739958866818,2015.98017488918,2016.0024391813,NA,other,other
628,836,0.05293138392949,-47.9137554651736,-21.1550379445596,-47.8877751506512,-21.0575931060351,2.03040466614439,1.9774732822149,2015.98024858272,2016.03317996665,NA,other,other
628,629,0.1317064013113,-47.9137554651736,-21.1550379445596,-47.8772454979391,-21.159016811695,2.1091796835262,1.9774732822149,2015.98024858272,2016.11195498404,NA,other,other
622,623,0.5179040909129,-46.2902352484302,-20.4199693723389,-46.2583073785252,-20.3451016455433,2.1247460715943,1.6068419806814,2015.60961728119,2016.1275213721,NA,other,SP
629,630,0.1167786820111,-47.8772454979391,-21.159016811695,-47.7212713005594,-21.2091896609211,2.2259583655373,2.1091796835262,2016.11195498404,2016.22873366605,NA,other,other
629,829,0.1640602425367,-47.8772454979391,-21.159016811695,-48.1761438181312,-21.1812607704594,2.2732399260629,2.1091796835262,2016.11195498404,2016.27601522657,NA,other,other
836,839,0.3488935889063,-47.8877751506512,-21.0575931060351,-49.0105615704706,-21.1082101661184,2.37929825505069,2.03040466614439,2016.03317996665,2016.38207355556,NA,other,other
839,907,0.01895210558394,-49.0105615704706,-21.1082101661184,-49.0643227138917,-21.1291622839714,2.39825036063463,2.37929825505069,2016.38207355556,2016.40102566114,NA,other,other
908,927,0.7922967082423,-46.6999924850906,-20.2230330933505,-49.4990789876657,-21.1282838730887,2.4003024470878,1.6080057388455,2015.61078103935,2016.4030777476,NA,other,other
829,831,0.1575926419735,-48.1761438181312,-21.1812607704594,-48.2078777997092,-21.1832763513828,2.4308325680364,2.2732399260629,2016.27601522657,2016.43360786855,NA,other,other
561,607,0.4394136556406,-43.0794521585219,-19.2313537468758,-43.1197743911145,-19.199385011031,2.4390775364343,1.9996638807937,2016.0024391813,2016.44185283694,NA,other,other
561,562,0.4526303555013,-43.0794521585219,-19.2313537468758,-42.3509397484769,-20.2376750326542,2.452294236295,1.9996638807937,2016.0024391813,2016.4550695368,NA,other,other
630,631,0.2392553874537,-47.7212713005594,-21.2091896609211,-47.7563858888267,-21.1850614485086,2.465213752991,2.2259583655373,2016.22873366605,2016.4679890535,NA,other,other
831,833,0.06765255952003,-48.2078777997092,-21.1832763513828,-48.1722064859869,-21.1580340415929,2.49848512755643,2.4308325680364,2016.43360786855,2016.50126042807,NA,other,other
839,840,0.1223596245129,-49.0105615704706,-21.1082101661184,-49.007688123705,-21.1090403050358,2.50165787956359,2.37929825505069,2016.38207355556,2016.50443318007,NA,other,other
631,635,0.04548311023588,-47.7563858888267,-21.1850614485086,-47.7094657121495,-21.1464815153615,2.51069686322688,2.465213752991,2016.4679890535,2016.51347216374,NA,other,other
562,563,0.05990688369569,-42.3509397484769,-20.2376750326542,-42.3883298825388,-20.2467625880403,2.51220111999069,2.452294236295,2016.4550695368,2016.5149764205,NA,other,other
563,564,0.001737931915142,-42.3883298825388,-20.2467625880403,-42.3864957022832,-20.2353336163501,2.51393905190583,2.51220111999069,2016.5149764205,2016.51671435241,NA,other,MG
927,928,0.1192351806043,-49.4990789876657,-21.1282838730887,-49.027966368441,-20.9540435569186,2.5195376276921,2.4003024470878,2016.4030777476,2016.5223129282,NA,other,other
928,929,0.02190324572075,-49.027966368441,-20.9540435569186,-49.0024837032808,-20.9512749829782,2.54144087341285,2.5195376276921,2016.5223129282,2016.54421617392,NA,other,other
908,909,0.935971214982,-46.6999924850906,-20.2230330933505,-45.8650006652225,-20.8412963658942,2.5439769538275,1.6080057388455,2015.61078103935,2016.54675225434,NA,other,other
833,834,0.06057428629894,-48.1722064859869,-21.1580340415929,-48.2560499600652,-21.1679935586041,2.55905941385537,2.49848512755643,2016.50126042807,2016.56183471436,NA,other,other
515,516,0.5909029283696,-40.7929672229384,-20.2882266411635,-40.7241819055393,-20.1951776439103,2.56830251703778,1.97739958866818,2015.98017488918,2016.57107781755,NA,other,other
928,931,0.05420732275791,-49.027966368441,-20.9540435569186,-49.0432309752113,-20.9290750088659,2.57374495045001,2.5195376276921,2016.5223129282,2016.57652025096,NA,other,other
909,910,0.03376997669731,-45.8650006652225,-20.8412963658942,-44.7646531617779,-20.5723695881656,2.57774693052481,2.5439769538275,2016.54675225434,2016.58052223103,NA,other,other
631,632,0.1279144690741,-47.7563858888267,-21.1850614485086,-48.0768033622636,-21.3373816123158,2.5931282220651,2.465213752991,2016.4679890535,2016.59590352257,NA,other,other
630,636,0.3806853274767,-47.7212713005594,-21.2091896609211,-46.8703467601642,-22.7812849730576,2.606643693014,2.2259583655373,2016.22873366605,2016.60941899352,NA,other,other
829,830,0.336950229202,-48.1761438181312,-21.1812607704594,-48.1495901086026,-21.1375201229161,2.6101901552649,2.2732399260629,2016.27601522657,2016.61296545577,NA,other,other
