node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,0.9352759784741,-46.7244078179136,-21.7372610802109,-47.9145463894121,-20.6745691580901,0.9352759784741,0,2015.07768004704,2016.01295602552,NA,other,other
467,492,0.0271209073001,-46.7244078179136,-21.7372610802109,-46.9851757503658,-21.3627238423843,0.0271209073001,0,2015.07768004704,2015.10480095434,NA,other,other
492,493,0.2427438113808,-46.9851757503658,-21.3627238423843,-47.4641616415655,-21.2182796453872,0.2698647186809,0.0271209073001,2015.10480095434,2015.34754476572,NA,other,other
493,154,0.2771127685221,-47.4641616415655,-21.2182796453872,-50.7243659830889,-15.8809171470521,0.546977487203,0.2698647186809,2015.34754476572,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
493,494,0.5552200722169,-47.4641616415655,-21.2182796453872,-46.9267198910522,-20.951733553737,0.8250847908978,0.2698647186809,2015.34754476572,2015.90276483794,NA,other,other
494,495,0.1275847022529,-46.9267198910522,-20.951733553737,-47.413030271566,-21.326189426638,0.9526694931507,0.8250847908978,2015.90276483794,2016.03034954019,NA,other,other
495,498,0.1670383365591,-47.413030271566,-21.326189426638,-48.9023779516329,-21.1760040048109,1.1197078297098,0.9526694931507,2016.03034954019,2016.19738787675,NA,other,other
494,775,0.4316380607219,-46.9267198910522,-20.951733553737,-46.8857979670841,-20.9885075156706,1.2567228516197,0.8250847908978,2015.90276483794,2016.33440289866,NA,other,SP
492,780,1.29175588254,-46.9851757503658,-21.3627238423843,-42.791745685516,-20.2742744526607,1.3188767898401,0.0271209073001,2015.10480095434,2016.39655683688,NA,other,other
498,568,0.2561160075314,-48.9023779516329,-21.1760040048109,-48.3262973324646,-21.1871570719471,1.3758238372412,1.1197078297098,2016.19738787675,2016.45350388429,NA,other,other
568,569,0.01526107166359,-48.3262973324646,-21.1871570719471,-48.3098253446183,-21.1619088198048,1.39108490890479,1.3758238372412,2016.45350388429,2016.46876495595,NA,other,other
498,499,0.271454496586,-48.9023779516329,-21.1760040048109,-49.1232072317506,-21.2323871431834,1.3911623262958,1.1197078297098,2016.19738787675,2016.46884237334,NA,other,other
780,781,0.07276101677446,-42.791745685516,-20.2742744526607,-42.7896266967595,-20.2383747340668,1.39163780661456,1.3188767898401,2016.39655683688,2016.46931785366,NA,other,other
499,500,0.01074471266241,-49.1232072317506,-21.2323871431834,-49.0476164473021,-21.2210532387266,1.40190703895821,1.3911623262958,2016.46884237334,2016.479587086,NA,other,other
781,782,0.06016778227171,-42.7896266967595,-20.2383747340668,-42.8690649139886,-20.2253871678509,1.45180558888627,1.39163780661456,2016.46931785366,2016.52948563593,NA,other,other
780,838,0.1401803784243,-42.791745685516,-20.2742744526607,-40.8995081504866,-20.46710915566,1.4590571682644,1.3188767898401,2016.39655683688,2016.53673721531,NA,other,other
568,772,0.1002856907969,-48.3262973324646,-21.1871570719471,-48.3272677222859,-21.1452368416175,1.4761095280381,1.3758238372412,2016.45350388429,2016.55378957508,NA,other,other
569,578,0.09430459304951,-48.3098253446183,-21.1619088198048,-48.1644810103112,-21.1295255483767,1.4853895019543,1.39108490890479,2016.46876495595,2016.563069549,NA,other,other
838,839,0.03344845429782,-40.8995081504866,-20.46710915566,-40.9134936341715,-20.4538720751757,1.49250562256222,1.4590571682644,2016.53673721531,2016.57018566961,NA,other,other
578,767,0.009593635266868,-48.1644810103112,-21.1295255483767,-48.1662667945898,-21.162623157951,1.49498313722117,1.4853895019543,2016.563069549,2016.57266318426,NA,other,other
569,570,0.108568412805,-48.3098253446183,-21.1619088198048,-48.2578822839032,-21.1415563167374,1.49965332170979,1.39108490890479,2016.46876495595,2016.57733336875,NA,other,other
468,469,0.572161370766,-47.9145463894121,-20.6745691580901,-48.9973885034337,-20.9759587560529,1.5074373492401,0.9352759784741,2016.01295602552,2016.58511739628,NA,other,other
500,501,0.1142727373079,-49.0476164473021,-21.2210532387266,-49.0618307158943,-21.2555269589384,1.51617977626611,1.40190703895821,2016.479587086,2016.59385982331,NA,other,other
839,840,0.03694650918008,-40.9134936341715,-20.4538720751757,-40.7567243346274,-20.4355432982231,1.5294521317423,1.49250562256222,2016.57018566961,2016.60713217879,NA,other,other
767,768,0.08072575321739,-48.1662667945898,-21.162623157951,-48.1910885093187,-21.1725327258992,1.57570889043856,1.49498313722117,2016.57266318426,2016.65338893748,NA,other,other
840,844,0.07202099563836,-40.7567243346274,-20.4355432982231,-41.0416338661307,-20.1092413275713,1.60147312738066,1.5294521317423,2016.60713217879,2016.67915317442,NA,other,other
468,474,0.667306424639,-47.9145463894121,-20.6745691580901,-45.5237638644449,-20.7040187272518,1.6025824031131,0.9352759784741,2016.01295602552,2016.68026245016,NA,other,other
838,923,0.1443792422259,-40.8995081504866,-20.46710915566,-40.9537395564368,-20.4921621389131,1.6034364104903,1.4590571682644,2016.53673721531,2016.68111645753,NA,other,MG
782,790,0.1561724789588,-42.8690649139886,-20.2253871678509,-42.8160123987616,-20.0335201901284,1.60797806784507,1.45180558888627,2016.52948563593,2016.68565811489,NA,other,other
781,816,0.2265481397352,-42.7896266967595,-20.2383747340668,-42.9965582935286,-19.4007085760985,1.61818594634976,1.39163780661456,2016.46931785366,2016.69586599339,NA,other,other
782,783,0.1739959926611,-42.8690649139886,-20.2253871678509,-43.1511930963426,-20.3762910273057,1.62580158154737,1.45180558888627,2016.52948563593,2016.70348162859,NA,other,other
469,470,0.1215508974398,-48.9973885034337,-20.9759587560529,-49.0068704572635,-20.9782975755461,1.6289882466799,1.5074373492401,2016.58511739628,2016.70666829372,NA,other,other
570,571,0.1342748994155,-48.2578822839032,-21.1415563167374,-48.3779404646703,-21.2497974616233,1.63392822112529,1.49965332170979,2016.57733336875,2016.71160826817,NA,other,other
578,579,0.1517727235526,-48.1644810103112,-21.1295255483767,-46.2825563767235,-22.6124249396304,1.6371622255069,1.4853895019543,2016.563069549,2016.71484227255,NA,other,other
790,802,0.03683067487582,-42.8160123987616,-20.0335201901284,-42.8977568844362,-19.8945402580203,1.64480874272089,1.60797806784507,2016.68565811489,2016.72248878976,NA,other,other
816,817,0.02929570819612,-42.9965582935286,-19.4007085760985,-42.9395739541853,-19.5170921967906,1.64748165454588,1.61818594634976,2016.69586599339,2016.72516170159,NA,other,other
923,924,0.05189372369931,-40.9537395564368,-20.4921621389131,-41.0012948927029,-20.470303593237,1.65533013418961,1.6034364104903,2016.68111645753,2016.73301018123,NA,MG,MG
802,803,0.02918757373335,-42.8977568844362,-19.8945402580203,-42.8633647883657,-19.9868774418912,1.67399631645424,1.64480874272089,2016.72248878976,2016.7516763635,NA,other,MG
571,577,0.04962677948219,-48.3779404646703,-21.2497974616233,-48.9255940217504,-21.1347149486141,1.68355500060748,1.63392822112529,2016.71160826817,2016.76123504765,NA,other,other
817,820,0.03998754141002,-42.9395739541853,-19.5170921967906,-43.2795228661517,-18.7390257198745,1.6874691959559,1.64748165454588,2016.72516170159,2016.765149243,NA,other,other
844,845,0.0908045778592,-41.0416338661307,-20.1092413275713,-40.949422910933,-20.1766164348176,1.69227770523986,1.60147312738066,2016.67915317442,2016.76995775228,NA,other,other
775,776,0.4382285123985,-46.8857979670841,-20.9885075156706,-46.5248285844071,-20.2521155205075,1.6949513640182,1.2567228516197,2016.33440289866,2016.77263141106,NA,SP,SP
469,466,0.1881066474321,-48.9973885034337,-20.9759587560529,-49.4377811887808,-21.0054780975887,1.6955439966722,1.5074373492401,2016.58511739628,2016.77322404372,MT497520|Brazil|SP|Potirendaba|NP|Sapajus|PNH106_CP224|2016-10-10,other,other
577,243,0.02018571737633,-48.9255940217504,-21.1347149486141,-48.8751233860343,-21.1557291704222,1.70374071798381,1.68355500060748,2016.76123504765,2016.78142076503,MT497521|Brazil|SP|Pindorama|NP|Alouatta|PNH12_CP159|2016-10-13,other,SP
817,818,0.05643502888335,-42.9395739541853,-19.5170921967906,-43.1565766095657,-19.5350227552818,1.70391668342923,1.64748165454588,2016.72516170159,2016.78159673047,NA,other,other
924,928,0.05437129808408,-41.0012948927029,-20.470303593237,-40.9325048201108,-19.9088733372448,1.70970143227369,1.65533013418961,2016.73301018123,2016.78738147932,NA,MG,MG
768,769,0.1359778063299,-48.1910885093187,-21.1725327258992,-48.3248253138725,-21.1452374750195,1.71168669676846,1.57570889043856,2016.65338893748,2016.78936674381,NA,other,other
840,841,0.1841198051912,-40.7567243346274,-20.4355432982231,-40.7470083852403,-20.3004673186658,1.7135719369335,1.5294521317423,2016.60713217879,2016.79125198398,NA,other,other
495,496,0.7638179929988,-47.413030271566,-21.326189426638,-47.7216490474335,-21.07802196142,1.7164874861495,0.9526694931507,2016.03034954019,2016.79416753319,NA,other,other
470,473,0.08820431964044,-49.0068704572635,-20.9782975755461,-49.0193329945776,-20.9442057504365,1.71719256632034,1.6289882466799,2016.70666829372,2016.79487261336,NA,other,other
470,471,0.09453439374469,-49.0068704572635,-20.9782975755461,-48.9440792945908,-21.0760571620275,1.72352264042459,1.6289882466799,2016.70666829372,2016.80120268747,NA,other,other
776,777,0.03324975473919,-46.5248285844071,-20.2521155205075,-46.6926215785884,-20.2927102472998,1.72820111875739,1.6949513640182,2016.77263141106,2016.8058811658,NA,SP,SP
474,476,0.1313994987072,-45.5237638644449,-20.7040187272518,-44.8977557889408,-20.1730282026935,1.7339819018203,1.6025824031131,2016.68026245016,2016.81166194886,NA,other,other
496,497,0.0182615813,-47.7216490474335,-21.07802196142,-47.8034555872678,-21.2465911243588,1.7347490674495,1.7164874861495,2016.79416753319,2016.81242911449,NA,other,other
803,804,0.0645643348178,-42.8633647883657,-19.9868774418912,-42.6743361202569,-19.9804624673219,1.73856065127204,1.67399631645424,2016.7516763635,2016.81624069832,NA,MG,MG
471,472,0.02664293159974,-48.9440792945908,-21.0760571620275,-48.9710276013121,-21.1158878347772,1.75016557202433,1.72352264042459,2016.80120268747,2016.82784561907,NA,other,other
844,879,0.1565928092653,-41.0416338661307,-20.1092413275713,-40.8172716061931,-20.2159209854576,1.75806593664596,1.60147312738066,2016.67915317442,2016.83574598369,NA,other,other
496,439,0.04463028101461,-47.7216490474335,-21.07802196142,-47.8523850887449,-21.1646578265169,1.76111776716411,1.7164874861495,2016.79416753319,2016.83879781421,ON022300|Brazil|SP|RibeiraoPreto|MO|NA|IAL-1|2016-11-03,other,other
497,441,0.02636869971461,-47.8034555872678,-21.2465911243588,-47.8038597608459,-21.2776928313603,1.76111776716411,1.7347490674495,2016.81242911449,2016.83879781421,ON022302|Brazil|SP|RibeiraoPreto|MO|NA|IAL-3|2016-11-03,other,other
497,440,0.02636869971461,-47.8034555872678,-21.2465911243588,-47.7202726774561,-21.2102160253538,1.76111776716411,1.7347490674495,2016.81242911449,2016.83879781421,ON022301|Brazil|SP|RibeiraoPreto|MO|NA|IAL-2|2016-11-03,other,other
767,248,0.2688668703801,-48.1662667945898,-21.162623157951,-49.7147563243682,-21.2951063329945,1.76385000760127,1.49498313722117,2016.57266318426,2016.84153005465,ON022703|Brazil|SP|Adolfo|NP|Alouatta|PNH69_CP226|2016-11-04,other,other
501,228,0.2558669526465,-49.0618307158943,-21.2555269589384,-48.8986610110722,-21.1146073388812,1.77204672891261,1.51617977626611,2016.59385982331,2016.84972677596,ON022702|Brazil|SP|Pindorama|NP|Sapajus|PNH65_CP225|2016-11-07,other,other
571,572,0.159095289808,-48.3779404646703,-21.2497974616233,-46.6716960632962,-22.6981592246738,1.79302351093329,1.63392822112529,2016.71160826817,2016.87070355798,NA,other,other
818,819,0.08931856297418,-43.1565766095657,-19.5350227552818,-43.2223853421837,-19.4551591503505,1.79323524640341,1.70391668342923,2016.78159673047,2016.87091529345,NA,other,other
769,244,0.08221795564135,-48.3248253138725,-21.1452374750195,-48.3383523401789,-21.1113129476325,1.79390465240981,1.71168669676846,2016.78936674381,2016.87158469945,MT497522|Brazil|SP|Jaboticabal|NP|Alouatta|PNH504_CP182|2016-11-15,other,SP
570,236,0.2969835711372,-48.2578822839032,-21.1415563167374,-48.2006764530889,-21.1463594260453,1.79663689284699,1.49965332170979,2016.57733336875,2016.87431693989,ON022698|Brazil|SP|Jaboticabal|NP|Alouatta|PNH72_CP218|2016-11-16,other,other
471,465,0.07311425242243,-48.9440792945908,-21.0760571620275,-48.8681174583693,-21.0143543657598,1.79663689284702,1.72352264042459,2016.80120268747,2016.87431693989,ON022288|Brazil|SP|Catanduva|NP|NA|IAL-10|2016-11-16,other,other
472,464,0.04647132082269,-48.9710276013121,-21.1158878347772,-48.8660009928669,-21.0737100541046,1.79663689284702,1.75016557202433,2016.82784561907,2016.87431693989,MT497523|Brazil|SP|Catanduva|NP|Alouatta|PNH94_CP227|2016-11-16,other,other
500,230,0.3974620943261,-49.0476164473021,-21.2210532387266,-49.0340396169662,-21.0908557985708,1.79936913328431,1.40190703895821,2016.479587086,2016.87704918033,ON022701|Brazil|SP|Catigua|NP|Alouatta|PNH102_CP223|2016-11-17,other,other
472,463,0.04920356126004,-48.9710276013121,-21.1158878347772,-49.0191508059462,-21.0947209804425,1.79936913328437,1.75016557202433,2016.82784561907,2016.87704918033,ON022700|Brazil|SP|Catanduva|NP|Alouatta|PNH96_CP222|2016-11-17,other,other
769,770,0.09606823305075,-48.3248253138725,-21.1452374750195,-48.2519750909171,-21.2506277784402,1.80775492981921,1.71168669676846,2016.78936674381,2016.88543497686,NA,other,other
