node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,1.342405974575,-44.9092730453148,-20.1400272846091,-42.4883640884828,-19.3808181292182,1.342405974575,0,2014.90568287446,2016.24808884904,NA,other,other
467,620,0.01118539584238,-44.9092730453148,-20.1400272846091,-44.9226334019426,-20.2002221922379,0.01118539584238,0,2014.90568287446,2014.9168682703,NA,other,other
620,621,0.3543075090182,-44.9226334019426,-20.2002221922379,-44.8518353736914,-20.1175798709923,0.36549290486058,0.01118539584238,2014.9168682703,2015.27117577932,NA,other,other
621,154,0.3534817549244,-44.8518353736914,-20.1175798709923,-50.7243659830889,-15.8809171470521,0.71897465978498,0.36549290486058,2015.27117577932,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
620,908,1.005968816291,-44.9226334019426,-20.2002221922379,-44.8553114892028,-20.2494768333545,1.01715421213338,0.01118539584238,2014.9168682703,2015.9228370866,NA,other,other
621,622,0.7564318062909,-44.8518353736914,-20.1175798709923,-46.9314277773505,-20.6001218583731,1.12192471115148,0.36549290486058,2015.27117577932,2016.02760758561,NA,other,other
622,628,0.1899316521917,-46.9314277773505,-20.6001218583731,-48.1542841988556,-21.0005443648727,1.31185636334318,1.12192471115148,2016.02760758561,2016.2175392378,NA,other,other
628,629,0.06315958610124,-48.1542841988556,-21.0005443648727,-48.2577304306776,-21.0677525490246,1.37501594944442,1.31185636334318,2016.2175392378,2016.28069882391,NA,other,other
468,469,0.0738451898332,-42.4883640884828,-19.3808181292182,-42.9554141718928,-19.8654883727891,1.4162511644082,1.342405974575,2016.24808884904,2016.32193403887,NA,other,other
622,623,0.3026277670004,-46.9314277773505,-20.6001218583731,-46.8777808889545,-20.0372347342595,1.42455247815188,1.12192471115148,2016.02760758561,2016.33023535261,NA,other,SP
629,699,0.11090779636,-48.2577304306776,-21.0677525490246,-48.3334050107387,-21.1058351781083,1.48592374580442,1.37501594944442,2016.28069882391,2016.39160662027,NA,other,other
469,560,0.1214888296186,-42.9554141718928,-19.8654883727891,-42.8911750148954,-19.7924059505747,1.5377399940268,1.4162511644082,2016.32193403887,2016.44342286849,NA,other,other
699,893,0.07909327436867,-48.3334050107387,-21.1058351781083,-48.4499117292277,-21.2088812015712,1.56501702017309,1.48592374580442,2016.39160662027,2016.47069989463,NA,other,other
629,630,0.1946829033416,-48.2577304306776,-21.0677525490246,-49.1372922086512,-21.1170811983023,1.56969885278602,1.37501594944442,2016.28069882391,2016.47538172725,NA,other,other
908,909,0.5790717018554,-44.8553114892028,-20.2494768333545,-44.8247706017392,-20.153711394157,1.59622591398878,1.01715421213338,2015.9228370866,2016.50190878845,NA,other,other
560,564,0.06209469551083,-42.8911750148954,-19.7924059505747,-42.8977676919103,-19.8127425627567,1.59983468953763,1.5377399940268,2016.44342286849,2016.505517564,NA,other,other
908,927,0.5917852086781,-44.8553114892028,-20.2494768333545,-49.0572808839434,-21.0917983900476,1.60893942081148,1.01715421213338,2015.9228370866,2016.51462229527,NA,other,other
